,player_name,name,sofifa_id,player_url,short_name,long_name,player_positions,overall,potential,value_eur,wage_eur,age,dob,height_cm,weight_kg,club_team_id,club_name,league_name,league_level,club_position,club_jersey_number,club_loaned_from,club_joined,club_contract_valid_until,nationality_id,nationality_name,nation_team_id,nation_position,nation_jersey_number,preferred_foot,weak_foot,skill_moves,international_reputation,work_rate_attack,work_rate_defense,body_type,real_face,release_clause_eur,player_tags,player_traits,pace,shooting,passing,dribbling,defending,physic,attacking_crossing,attacking_finishing,attacking_heading_accuracy,attacking_short_passing,attacking_volleys,skill_dribbling,skill_curve,skill_fk_accuracy,skill_long_passing,skill_ball_control,movement_acceleration,movement_sprint_speed,movement_agility,movement_reactions,movement_balance,power_shot_power,power_jumping,power_stamina,power_strength,power_long_shots,mentality_aggression,mentality_interceptions,mentality_positioning,mentality_vision,mentality_penalties,mentality_composure,defending_marking_awareness,defending_standing_tackle,defending_sliding_tackle,goalkeeping_diving,goalkeeping_handling,goalkeeping_kicking,goalkeeping_positioning,goalkeeping_reflexes,goalkeeping_speed,ls,st,rs,lw,lf,cf,rf,rw,lam,cam,ram,lm,lcm,cm,rcm,rm,lwb,ldm,cdm,rdm,rwb,lb,lcb,cb,rcb,rb,gk,player_face_url,club_logo_url,club_flag_url,nation_logo_url,nation_flag_url,id,games,time,goals,xG,assists,xA,shots,key_passes,yellow_cards,red_cards,position_long,team_title,npg,npxG,xGChain,xGBuildup,Player,Apps,Mins,Goals,Assists,Yel,Red,SpG,PS.,AerialsWon,MotM,Rating,club,shot_num,npg_num,npxG_num,xGgg03_sum,xGss03_sum,xGgg03_goal_sum,xGss03_goal_sum,situation_OpenPlay,situation_SetPiece,situation_OpenPlay_goal,situation_SetPiece_goal,shotType_Head,shotType_LeftFoot,shotType_OtherBodyPart,shotType_RightFoot,shotType_Head_goal,shotType_LeftFoot_goal,shotType_OtherBodyPart_goal,shotType_RightFoot_goal,shotZone_SixYardBox,shotZone_PenaltyArea,shotZone_OutOfBox,shotZone_SixYardBox_goal,shotZone_PenaltyArea_goal,shotZone_OutOfBox_goal,crowdedArea,crowdedArea_goal,npxG_diff,xGgg03_goal_P,xGss03_goal_P,situation_OpenPlay_goal_P,situation_SetPiece_goal_P,shotType_Head_goal_P,shotType_LeftFoot_goal_P,shotType_OtherBodyPart_goal_P,shotType_RightFoot_goal_P,shotZone_SixYardBox_goal_P,shotZone_PenaltyArea_goal_P,shotZone_OutOfBox_goal_P,crowdedArea_goal_P,position_short
1,Alexandre Lacazette,Lacazette,193301,https://sofifa.com/player/193301/alexandre-lacazette/220002,A. Lacazette,Alexandre Lacazette,ST,82,82,30000000,110000,30,5/28/91,175,73,1,Arsenal,English Premier League,1,SUB,9,NA,7/5/17,2022,18,France,NA,NA,NA,Right,4,4,3,High,High,Unique,Yes,57000000,NA,Technical Dribbler (AI),75,82,74,82,44,72,68,83,75,79,79,83,74,74,70,82,77,73,81,82,82,87,76,66,75,78,73,42,82,75,79,80,39,45,32,11,6,9,5,6,NA,81+1,81+1,81+1,79,81,81,81,79,80+2,80+2,80+2,78+3,74+3,74+3,74+3,78+3,61+3,62+3,62+3,62+3,61+3,59+3,57+3,57+3,57+3,59+3,15+3,https://cdn.sofifa.net/players/193/301/22_120.png,https://cdn.sofifa.net/teams/1/60.png,https://cdn.sofifa.net/flags/gb-eng.png,NA,https://cdn.sofifa.net/flags/fr.png,3277,31,1939,13,12.02890942,2,2.209213115,45,22,3,0,F M S,Arsenal,10,9.745402876,14.36154239,2.937940784,Alexandre Lacazette,22(9),1931,13,2,3,0,1.5,78.8,0.9,3,6.89,Arsenal,42,10,9.745402915,16,26,9,1,36,6,10,0,10,5,0,27,2,3,0,5,10,20,12,4,6,0,18,6,0.254597085,0.5625,0.038461538,0.277777778,0,0.2,0.6,NA,0.185185185,0.4,0.3,0,0.333333333,ST
2,Anwar El Ghazi,El Ghazi,216433,https://sofifa.com/player/216433/anwar-el-ghazi/220002,A. El Ghazi,Anwar El Ghazi,"LM, RW, LW",76,77,9000000,56000,26,5/3/95,188,90,2,Aston Villa,English Premier League,1,LW,21,NA,7/1/19,2023,34,Netherlands,NA,NA,NA,Right,4,4,1,Medium,Medium,Normal (185+),Yes,17800000,NA,"Finesse Shot, Flair, Long Shot Taker (AI), Technical Dribbler (AI)",73,78,70,76,35,69,74,77,72,73,67,78,75,73,54,78,68,77,68,79,65,84,52,73,75,77,55,28,78,73,80,72,40,28,15,13,9,7,14,11,NA,77,77,77,76,77,77,77,76,75+2,75+2,75+2,75+2,68+2,68+2,68+2,75+2,57+2,54+2,54+2,54+2,57+2,53+2,48+2,48+2,48+2,53+2,19+2,https://cdn.sofifa.net/players/216/433/22_120.png,https://cdn.sofifa.net/teams/2/60.png,https://cdn.sofifa.net/flags/gb-eng.png,NA,https://cdn.sofifa.net/flags/nl.png,5612,28,1612,10,9.037517841,0,1.882865613,64,26,2,0,F M S,Aston Villa,6,5.992842442,7.845562791,2.691346372,Anwar El Ghazi,17(11),1617,10,0,2,0,2.3,75.3,1,2,6.78,Aston Villa,60,6,5.99284245,8,52,4,2,50,10,5,1,3,6,0,51,0,1,0,5,3,24,33,2,3,1,17,2,0.00715755,0.5,0.038461538,0.1,0.1,0,0.166666667,NA,0.098039216,0.666666667,0.125,0.03030303,0.117647059,W
3,Bertrand Traoré,Traore,207948,https://sofifa.com/player/207948/bertrand-traore/220002,B. Traoré,Bertrand Isidore Traoré,"RM, RW",77,78,12500000,57000,25,9/6/95,181,73,2,Aston Villa,English Premier League,1,SUB,15,NA,9/19/20,2024,101,Burkina Faso,NA,NA,NA,Left,1,4,2,Medium,Low,Lean (170-185),Yes,24700000,NA,"Finesse Shot, Flair, Speed Dribbler (AI), Outside Foot Shot, Technical Dribbler (AI)",78,73,73,82,45,66,73,75,66,74,72,82,79,73,68,86,77,79,88,69,59,73,75,69,65,68,60,54,73,74,69,74,40,40,37,11,7,7,13,12,NA,74+2,74+2,74+2,77,76,76,76,77,77+1,77+1,77+1,76+2,72+2,72+2,72+2,76+2,63+2,61+2,61+2,61+2,63+2,60+2,55+2,55+2,55+2,60+2,17+2,https://cdn.sofifa.net/players/207/948/22_120.png,https://cdn.sofifa.net/teams/2/60.png,https://cdn.sofifa.net/flags/gb-eng.png,NA,https://cdn.sofifa.net/flags/bf.png,695,36,2362,7,6.304105126,6,4.570987722,64,35,1,0,F M S,Aston Villa,7,6.304105126,9.835355166,1.332214053,Bertrand Traoré,29(7),2338,7,6,1,0,1.8,77.7,0.9,3,6.85,Aston Villa,64,7,6.304105164,5,59,3,4,51,13,4,3,4,54,0,6,0,5,0,2,5,40,19,2,4,1,28,3,0.695894836,0.6,0.06779661,0.078431373,0.230769231,0,0.092592593,NA,0.333333333,0.4,0.1,0.052631579,0.107142857,ST
4,Bobby Reid,Reid,203502,https://sofifa.com/player/203502/bobby-decordova-reid/220002,B. Decordova-Reid,Bobby De Cordova-Reid,"RM, ST",74,74,4200000,47000,28,34002,170,68,144,Fulham,English League Championship,2,SUB,14,NA,43854,2023,82,Jamaica,NA,,NA,Right,3,3,1,High,High,Lean (170-),Yes,8000000,,Flair,79,72,69,76,57,63,68,73,63,72,74,75,62,62,64,73,80,78,88,75,86,68,77,79,60,71,46,58,75,70,70,70,57,56,54,8,12,13,8,10,NA,72+2,72+2,72+2,74,73,73,73,74,73+1,73+1,73+1,73+1,70+2,70+2,70+2,73+1,67+2,64+2,64+2,64+2,67+2,66+2,60+2,60+2,60+2,66+2,17+2,https://cdn.sofifa.net/players/203/502/22_120.png,https://cdn.sofifa.net/teams/144/60.png,https://cdn.sofifa.net/flags/gb-eng.png,,https://cdn.sofifa.net/flags/jm.png,6827,33,2394,5,4.269851533,2,1.309700711,34,14,7,0,D F M S,Fulham,5,4.269851533,8.202645359,3.131384481,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Fulham,34,5,4.269851493,5,29,2,3,30,4,4,1,3,10,1,20,1,0,0,4,2,24,8,1,4,0,18,4,0.730148507,0.4,0.103448276,0.133333333,0.25,0.333333333,0,0,0.2,0.5,0.166666667,0,0.222222222,ST
5,Bruno Fernandes,Fernandes,212198,https://sofifa.com/player/212198/bruno-miguel-borges-fernandes/220002,Bruno Fernandes,Bruno Miguel Borges Fernandes,CAM,88,89,107500000,250000,26,9/8/94,179,69,11,Manchester United,English Premier League,1,CAM,18,NA,1/30/20,2025,38,Portugal,1354,LCM,11,Right,3,4,3,High,High,Unique,Yes,206900000,"#Playmaker, #Engine, #Distance Shooter, #Crosser, #FK Specialist, #Complete Midfielder","Solid Player, Leadership, Flair, Long Passer (AI), Long Shot Taker (AI), Playmaker (AI), Outside Foot Shot",75,86,89,84,70,77,87,83,64,91,87,83,87,87,88,87,77,73,80,91,79,89,73,91,70,89,78,66,87,90,91,87,72,73,65,12,14,15,8,14,NA,83+3,83+3,83+3,85,85,85,85,85,87+2,87+2,87+2,86+3,87+2,87+2,87+2,86+3,80+3,80+3,80+3,80+3,80+3,77+3,73+3,73+3,73+3,77+3,21+3,https://cdn.sofifa.net/players/212/198/22_120.png,https://cdn.sofifa.net/teams/11/60.png,https://cdn.sofifa.net/flags/gb-eng.png,https://cdn.sofifa.net/teams/1354/60.png,https://cdn.sofifa.net/flags/pt.png,1228,37,3117,18,16.01945446,12,11.47499598,121,95,6,0,M S,Manchester United,9,8.407839627,26.91141238,11.93228487,Bruno Fernandes,35(2),3110,18,12,6,0,3.3,78.3,0.4,6,7.43,Manchester United,111,9,8.407839605,6,105,1,8,83,28,9,0,5,11,0,95,1,1,0,7,5,34,72,1,7,1,26,5,0.592160395,0.166666667,0.076190476,0.108433735,0,0.2,0.090909091,NA,0.073684211,0.2,0.205882353,0.013888889,0.192307692,CM
6,Bukayo Saka,Saka,246669,https://sofifa.com/player/246669/bukayo-saka/220002,B. Saka,Bukayo Saka,"RM, LM, LB",80,88,45500000,50000,19,9/5/01,178,65,1,Arsenal,English Premier League,1,LM,7,NA,9/14/18,2025,14,England,1318,SUB,16,Left,3,3,2,High,Medium,Lean (170-185),Yes,95600000,NA,"Team Player, Technical Dribbler (AI)",84,68,76,82,65,64,79,69,45,79,63,84,76,69,63,80,86,82,83,76,83,68,54,77,58,65,66,68,78,79,64,73,65,69,67,7,8,13,9,13,NA,71+2,71+2,71+2,79,77,77,77,79,78+2,78+2,78+2,79+2,75+2,75+2,75+2,79+2,75+2,71+2,71+2,71+2,75+2,73+2,66+2,66+2,66+2,73+2,17+2,https://cdn.sofifa.net/players/246/669/22_120.png,https://cdn.sofifa.net/teams/1/60.png,https://cdn.sofifa.net/flags/gb-eng.png,https://cdn.sofifa.net/teams/1318/60.png,https://cdn.sofifa.net/flags/gb-eng.png,7322,32,2577,5,7.169173587,3,4.511790655,61,38,1,0,D F M S,Arsenal,5,7.169173587,18.29246639,9.18043957,Bukayo Saka,30(2),2562,5,3,1,0,1.9,81.8,0.4,2,6.88,Arsenal,62,5,7.169173581,7,55,3,2,58,4,5,0,3,43,0,16,1,2,0,2,5,41,16,2,2,1,27,1,-2.169173581,0.428571429,0.036363636,0.086206897,0,0.333333333,0.046511628,NA,0.125,0.4,0.048780488,0.0625,0.037037037,W
7,Callum Wilson,Wilson,196978,https://sofifa.com/player/196978/callum-wilson/220002,C. Wilson,Callum Wilson,ST,79,79,17500000,53000,29,2/27/92,180,66,13,Newcastle United,English Premier League,1,RS,9,NA,9/7/20,2024,14,England,NA,NA,NA,Right,3,4,2,High,Medium,Normal (170-185),Yes,33300000,NA,Injury Prone,80,78,66,78,41,77,61,82,78,72,71,78,63,45,62,79,77,83,75,79,72,77,70,76,79,68,74,40,83,70,83,79,36,40,27,10,15,8,10,6,NA,79,79,79,76,78,78,78,76,76+2,76+2,76+2,75+2,70+2,70+2,70+2,75+2,59+2,59+2,59+2,59+2,59+2,57+2,55+2,55+2,55+2,57+2,18+2,https://cdn.sofifa.net/players/196/978/22_120.png,https://cdn.sofifa.net/teams/13/60.png,https://cdn.sofifa.net/flags/gb-eng.png,NA,https://cdn.sofifa.net/flags/gb-eng.png,468,26,2079,12,13.59009125,5,3.046300631,49,17,2,0,F S,Newcastle United,8,10.54541587,14.20559293,1.052545197,Callum Wilson,23(3),2086,12,5,2,0,1.9,69.5,1.7,4,6.84,Newcastle United,45,8,10.54541581,17,28,7,1,40,5,7,1,16,9,1,19,1,3,0,4,8,32,5,4,4,0,30,4,-2.545415813,0.411764706,0.035714286,0.175,0.2,0.0625,0.333333333,0,0.210526316,0.5,0.125,0,0.133333333,ST
8,Che Adams,Adams,226093,https://sofifa.com/player/226093/che-adams/220002,C. Adams,Ché Adams,ST,76,81,11500000,46000,24,7/13/96,178,70,17,Southampton,English Premier League,1,RS,10,NA,7/1/19,2024,42,Scotland,1359,LS,10,Right,3,3,1,High,Medium,Stocky (170-185),Yes,22700000,NA,NA,84,77,62,74,40,77,55,76,63,70,70,73,63,59,53,75,83,84,78,74,74,86,76,77,79,75,74,36,77,62,69,71,33,42,36,16,13,12,15,9,NA,76+2,76+2,76+2,73,75,75,75,73,72+2,72+2,72+2,71+2,66+2,66+2,66+2,71+2,58+2,57+2,57+2,57+2,58+2,56+2,54+2,54+2,54+2,56+2,20+2,https://cdn.sofifa.net/players/226/093/22_120.png,https://cdn.sofifa.net/teams/17/60.png,https://cdn.sofifa.net/flags/gb-eng.png,https://cdn.sofifa.net/teams/1359/60.png,https://cdn.sofifa.net/flags/gb-sct.png,7700,36,2685,9,12.11873416,5,5.227753505,55,37,1,0,F S,Southampton,9,12.11873416,14.48691171,2.74462433,Che Adams,30(6),2675,9,5,1,0,1.5,70.3,1.5,0,6.77,Southampton,55,9,12.11873428,19,36,6,3,45,10,5,4,7,4,1,43,0,1,0,8,10,35,10,5,3,1,26,3,-3.118734284,0.315789474,0.083333333,0.111111111,0.4,0,0.25,0,0.186046512,0.5,0.085714286,0.1,0.115384615,ST
9,Chris Wood,Wood,192123,https://sofifa.com/player/192123/chris-wood/220002,C. Wood,Christopher Grant Wood,ST,79,79,17500000,48000,29,12/7/91,191,92,1796,Burnley,English Premier League,1,RS,9,NA,8/21/17,2023,198,New Zealand,111473,ST,9,Right,3,2,1,High,Low,Normal (185+),Yes,33300000,#Strength,Power Header,64,79,60,70,40,81,46,81,87,68,74,69,69,64,48,77,60,68,55,77,59,81,79,76,86,72,77,40,80,64,81,77,39,30,29,14,16,16,7,16,NA,78+1,78+1,78+1,69,74,74,74,69,70+2,70+2,70+2,68+2,65+2,65+2,65+2,68+2,55+2,56+2,56+2,56+2,55+2,53+2,55+2,55+2,55+2,53+2,20+2,https://cdn.sofifa.net/players/192/123/22_120.png,https://cdn.sofifa.net/teams/1796/60.png,https://cdn.sofifa.net/flags/gb-eng.png,https://cdn.sofifa.net/teams/111473/60.png,https://cdn.sofifa.net/flags/nz.png,4456,33,2765,12,12.95413543,3,2.038118389,70,23,0,0,F S,Burnley,10,11.43179769,13.58528152,2.14985176,Chris Wood,32(1),2750,12,3,0,0,2.1,65.1,4.7,1,6.81,Burnley,68,10,11.4317977,17,51,4,6,61,7,8,2,24,9,2,33,2,0,1,7,9,45,14,3,7,0,42,7,-1.4317977,0.235294118,0.117647059,0.131147541,0.285714286,0.083333333,0,0.5,0.212121212,0.333333333,0.155555556,0,0.166666667,ST
10,Christian Benteke,Benteke,184111,https://sofifa.com/player/184111/christian-benteke/220002,C. Benteke,Christian Benteke Liolo,ST,75,75,5500000,50000,30,12/3/90,190,83,1799,Crystal Palace,English Premier League,1,ST,20,NA,8/20/16,2023,7,Belgium,1325,SUB,17,Right,2,2,2,Medium,Low,Lean (185+),Yes,10500000,#Strength,"Injury Prone, Power Header",54,76,62,68,32,75,58,76,85,66,76,64,61,64,51,77,51,56,61,76,43,81,87,59,87,70,60,29,77,69,71,71,28,25,18,14,5,12,8,5,NA,75,75,75,68,71,71,71,68,69+2,69+2,69+2,66+2,63+2,63+2,63+2,66+2,49+2,51+2,51+2,51+2,49+2,47+2,49+2,49+2,49+2,47+2,16+2,https://cdn.sofifa.net/players/184/111/22_120.png,https://cdn.sofifa.net/teams/1799/60.png,https://cdn.sofifa.net/flags/gb-eng.png,https://cdn.sofifa.net/teams/1325/60.png,https://cdn.sofifa.net/flags/be.png,606,30,1824,10,7.457401188,1,0.697626286,71,15,1,1,F S,Crystal Palace,10,7.457401188,8.472839532,3.153553776,Christian Benteke,21(9),1819,10,1,1,1,2.4,58.6,6.8,2,7.08,Crystal Palace,71,10,7.45740118,7,64,3,7,50,21,8,2,34,12,0,25,6,2,0,2,10,52,9,3,7,0,46,6,2.54259882,0.428571429,0.109375,0.16,0.095238095,0.176470588,0.166666667,NA,0.08,0.3,0.134615385,0,0.130434783,ST
11,Danny Ings,Ings,195859,https://sofifa.com/player/195859/danny-ings/220002,D. Ings,Daniel William John Ings,ST,81,81,26500000,90000,28,7/23/92,178,73,2,Aston Villa,English Premier League,1,ST,20,NA,8/4/21,2024,14,England,NA,NA,NA,Right,4,3,1,High,High,Normal (170-185),Yes,50400000,#Clinical Finisher,"Injury Prone, Finesse Shot",79,84,70,80,45,70,66,86,78,75,76,78,72,70,61,81,82,76,77,86,77,83,79,74,69,83,67,46,86,72,81,85,38,45,34,10,13,12,16,6,NA,81,81,81,79,81,81,81,79,79+2,79+2,79+2,77+2,73+2,73+2,73+2,77+2,63+2,61+2,61+2,61+2,63+2,60+2,57+2,57+2,57+2,60+2,20+2,https://cdn.sofifa.net/players/195/859/22_120.png,https://cdn.sofifa.net/teams/2/60.png,https://cdn.sofifa.net/flags/gb-eng.png,NA,https://cdn.sofifa.net/flags/gb-eng.png,986,29,2200,12,8.276573244,4,2.31123058,57,22,1,0,F S,Southampton,10,6.754235521,10.48221801,2.479040857,Danny Ings,26(3),2185,12,4,1,0,2,66.3,0.8,2,6.84,Southampton,55,10,6.754235547,11,44,5,5,41,14,8,2,13,6,0,36,1,1,0,8,2,39,14,1,8,1,36,7,3.245764453,0.454545455,0.113636364,0.195121951,0.142857143,0.076923077,0.166666667,NA,0.222222222,0.5,0.205128205,0.071428571,0.194444444,ST
12,Danny Welbeck,Welbeck,186146,https://sofifa.com/player/186146/danny-welbeck/220002,D. Welbeck,Daniel Nii Tackie Mensah Welbeck,"ST, LW, LM",73,73,3000000,45000,30,11/26/90,185,73,1808,Brighton & Hove Albion,English Premier League,1,LS,18,NA,10/18/20,2022,14,England,NA,NA,NA,Right,3,3,2,High,High,Normal (185+),Yes,5700000,NA,"Injury Prone, Speed Dribbler (AI)",71,72,67,72,42,66,69,75,75,66,68,72,61,62,64,72,66,75,72,70,61,76,79,50,70,63,75,32,74,70,68,75,43,38,33,9,10,6,12,16,NA,73,73,73,71,71,71,71,71,70+2,70+2,70+2,69+2,64+2,64+2,64+2,69+2,55+2,55+2,55+2,55+2,55+2,53+2,53+2,53+2,53+2,53+2,18+2,https://cdn.sofifa.net/players/186/146/22_120.png,https://cdn.sofifa.net/teams/1808/60.png,https://cdn.sofifa.net/flags/gb-eng.png,NA,https://cdn.sofifa.net/flags/gb-eng.png,501,24,1551,6,7.380381532,1,3.23136685,35,22,0,0,F M S,Brighton,6,6.619249471,10.26566652,1.476512637,Danny Welbeck,17(7),1547,6,1,0,0,1.5,81,0.9,1,6.66,Brighton,34,6,6.619249457,9,25,3,3,30,4,5,1,8,13,0,13,1,2,0,3,4,25,5,2,2,2,18,2,-0.619249457,0.333333333,0.12,0.166666667,0.25,0.125,0.153846154,NA,0.230769231,0.5,0.08,0.4,0.111111111,ST
13,David McGoldrick,McGoldrick,180818,https://sofifa.com/player/180818/david-mcgoldrick/220002,D. McGoldrick,David McGoldrick,ST,73,73,1900000,25000,33,11/29/87,183,74,1794,Sheffield United,English League Championship,2,LS,17,NA,7/24/18,2022,25,Republic of Ireland,NA,NA,NA,Right,3,3,1,Medium,High,Normal (170-185),Yes,3600000,NA,"Flair, Playmaker (AI), Outside Foot Shot, Technical Dribbler (AI)",65,72,71,76,33,68,63,72,72,76,71,76,68,65,68,77,64,66,69,75,76,72,73,69,72,68,57,25,73,76,78,76,36,27,19,15,7,10,10,9,NA,73,73,73,72,74-1,74-1,74-1,72,74-1,74-1,74-1,72+1,69+2,69+2,69+2,72+1,54+2,54+2,54+2,54+2,54+2,50+2,47+2,47+2,47+2,50+2,17+2,https://cdn.sofifa.net/players/180/818/22_120.png,https://cdn.sofifa.net/teams/1794/60.png,https://cdn.sofifa.net/flags/gb-eng.png,NA,https://cdn.sofifa.net/flags/ie.png,7711,35,2409,8,7.605752226,1,1.116618961,71,17,7,0,F M S,Sheffield United,8,7.605752226,9.950739227,3.253697068,David McGoldrick,28(7),2402,8,1,7,0,2,74.7,2.5,2,6.72,Sheffield United,70,8,6.799279249,8,62,5,3,56,14,6,2,13,14,0,43,2,2,0,4,7,37,26,2,4,2,23,4,1.200720751,0.625,0.048387097,0.107142857,0.142857143,0.153846154,0.142857143,NA,0.093023256,0.285714286,0.108108108,0.076923077,0.173913043,ST
